Date,Open,High,Low,Close,Adj Close,Volume
2012-08-20,304960.0,308400.0,302800.0,302880.0,245728.765625,145
2012-08-21,300160.0,310160.0,296800.0,306800.0,248909.015625,222
2012-08-22,308720.0,310960.0,300960.0,303040.0,245858.546875,184
2012-08-23,306720.0,312320.0,304000.0,309760.0,251310.546875,155
2012-08-24,312320.0,313760.0,302080.0,304640.0,247156.640625,137
2012-08-27,300080.0,304800.0,299280.0,303040.0,245858.546875,124
2012-08-28,303680.0,306640.0,300480.0,302800.0,245663.859375,137
2012-08-29,302400.0,306480.0,300400.0,302800.0,245663.859375,104
2012-08-30,306640.0,313280.0,306320.0,312000.0,253127.796875,135
2012-08-31,304720.0,314880.0,301600.0,306000.0,248260.0625,269
2012-09-04,307040.0,315440.0,303040.0,306240.0,248454.703125,189
2012-09-05,307120.0,309920.0,302960.0,307520.0,249493.15625,166
2012-09-06,302000.0,302080.0,286800.0,287200.0,233007.46875,281
2012-09-07,288640.0,290560.0,286640.0,288160.0,233786.328125,143
2012-09-10,290400.0,299680.0,288560.0,298880.0,242483.453125,162
2012-09-11,299200.0,302000.0,295600.0,300320.0,243651.75,167
2012-09-12,297520.0,303280.0,295600.0,297520.0,241380.09375,205
2012-09-13,297040.0,298080.0,282000.0,285760.0,231839.171875,319
2012-09-14,282240.0,282800.0,274960.0,278000.0,225543.40625,263
2012-09-17,277600.0,280640.0,277440.0,277760.0,225348.71875,220
2012-09-18,280080.0,280080.0,276640.0,277120.0,224829.484375,190
2012-09-19,277040.0,279440.0,273200.0,275280.0,223336.65625,207
2012-09-20,279600.0,281520.0,275520.0,276080.0,223985.671875,211
2012-09-21,272160.0,276720.0,271440.0,276000.0,223920.765625,163
2012-09-24,282960.0,284400.0,279280.0,281280.0,228204.515625,234
2012-09-25,278480.0,292960.0,276720.0,292400.0,237226.25,248
2012-09-26,293840.0,304160.0,293280.0,299600.0,243067.65625,360
2012-09-27,297520.0,299040.0,285200.0,287120.0,232942.53125,258
2012-09-28,290160.0,294960.0,287520.0,294240.0,238719.0625,271
2012-10-01,289920.0,298400.0,284640.0,295280.0,239562.78125,203
2012-10-02,291760.0,299920.0,288960.0,292880.0,237615.640625,288
2012-10-03,290400.0,294160.0,286000.0,287680.0,233396.84375,266
2012-10-04,285840.0,288640.0,282160.0,284400.0,230735.8125,175
2012-10-05,280320.0,291040.0,278880.0,288880.0,234370.4375,221
2012-10-08,294160.0,298800.0,292160.0,296640.0,240666.140625,202
2012-10-09,299120.0,313040.0,299120.0,311120.0,252413.90625,274
2012-10-10,311280.0,317280.0,308800.0,315600.0,256048.484375,205
2012-10-11,308560.0,319200.0,308000.0,319040.0,258839.46875,183
2012-10-12,318640.0,320960.0,313520.0,319200.0,258969.28125,173
2012-10-15,315200.0,321280.0,310720.0,312320.0,253387.453125,169
2012-10-16,310640.0,310800.0,297680.0,298160.0,241899.359375,199
2012-10-17,303520.0,304560.0,296480.0,299360.0,242872.9375,240
2012-10-18,302480.0,312960.0,299200.0,309280.0,250921.15625,341
2012-10-19,310640.0,332960.0,310160.0,331840.0,269224.15625,486
2012-10-22,332640.0,334400.0,324000.0,326720.0,265070.34375,278
2012-10-23,334560.0,338960.0,327520.0,336160.0,272729.0,392
2012-10-24,330160.0,340960.0,328720.0,340000.0,275844.5,201
2012-10-25,332400.0,342400.0,330640.0,339120.0,275130.46875,237
2012-10-26,339440.0,347360.0,332240.0,336000.0,272599.1875,263
2012-10-31,337120.0,346160.0,336000.0,342400.0,277791.5625,144
2012-11-01,336560.0,338880.0,325840.0,327680.0,265849.15625,195
2012-11-02,323440.0,339120.0,322800.0,338800.0,274870.90625,150
2012-11-05,338080.0,340080.0,329520.0,331440.0,268899.6875,175
2012-11-06,330000.0,333440.0,322880.0,329360.0,267212.21875,232
2012-11-07,339680.0,356880.0,339040.0,352560.0,286034.4375,370
2012-11-08,350160.0,369520.0,347440.0,369520.0,299794.21875,294
2012-11-09,368880.0,369520.0,352960.0,364800.0,295964.90625,371
2012-11-12,358240.0,367920.0,357200.0,364720.0,295900.0,154
2012-11-13,373920.0,375840.0,362080.0,372400.0,302130.8125,339
2012-11-14,367280.0,387280.0,366000.0,385600.0,312840.03125,269
2012-11-15,385200.0,393760.0,380960.0,389760.0,316215.03125,367
2012-11-16,388480.0,403040.0,381200.0,385360.0,312645.28125,352
2012-11-19,372000.0,372080.0,356160.0,356800.0,289474.375,233
2012-11-20,356880.0,366800.0,355120.0,356720.0,289409.5,191
2012-11-21,355600.0,359680.0,352880.0,354240.0,287397.5,125
2012-11-23,347520.0,348640.0,338000.0,338160.0,274351.6875,162
2012-11-26,340080.0,343760.0,333360.0,333680.0,270717.0,185
2012-11-27,334560.0,338640.0,330400.0,337120.0,273507.875,229
2012-11-28,342240.0,348080.0,327680.0,328800.0,266757.8125,347
2012-11-29,323440.0,327440.0,319120.0,322720.0,261825.046875,289
2012-11-30,322560.0,326880.0,321520.0,323760.0,262668.90625,201
2012-12-03,316560.0,326320.0,315680.0,325600.0,264161.6875,266
2012-12-04,325280.0,332880.0,324560.0,327360.0,265589.59375,273
2012-12-05,328080.0,342720.0,328000.0,337280.0,273637.71875,295
2012-12-06,340240.0,343200.0,328240.0,331200.0,268705.0,213
2012-12-07,325760.0,340080.0,324800.0,336720.0,273183.40625,175
2012-12-10,339440.0,339520.0,328560.0,333520.0,270587.125,140
2012-12-11,326800.0,327600.0,315040.0,320640.0,260137.53125,315
2012-12-12,315760.0,325280.0,315440.0,323040.0,262084.703125,305
2012-12-13,324400.0,334480.0,317840.0,330160.0,267861.1875,233
2012-12-14,336480.0,343040.0,333840.0,339520.0,275454.9375,181
2012-12-17,338800.0,340160.0,325840.0,325920.0,264421.28125,184
2012-12-18,320640.0,324000.0,309680.0,310960.0,252284.109375,349
